"","Team","Team_Abbr","Win_Ratio","PTS","AST","TRB","BLK","STL","TOV","PER"
"30","Atlanta Hawks","ATL",0.524,12.7,3.3,6.3,0.6,1.1,2,10.5
"29","Boston Celtics","BOS",0.646,15,3.3,6.7,0.7,1,1.6,14.8
"28","Brooklyn Nets","BRK",0.244,14.6,3.1,6.7,0.7,1.1,2.2,12.6
"27","Charlotte Hornets","CHO",0.439,12.9,3.2,6.3,0.5,0.9,1.6,12.2
"26","Chicago Bulls","CHI",0.5,13.3,3,6.2,0.5,1.1,1.8,11.9
"25","Cleveland Cavaliers","CLE",0.622,14.3,2.5,6.3,1.1,0.9,2,11.4
"24","Dallas Mavericks","DAL",0.402,13,2.9,6.7,0.7,1.1,1.8,11.5
"23","Denver Nuggets","DEN",0.488,14.9,3.9,7.1,0.9,1.3,2,15.3
"22","Detroit Pistons","DET",0.451,14.2,3.2,6.8,0.5,0.9,1.7,13.1
"21","Golden State Warriors","GSW",0.817,14.5,3.7,7.5,1.2,1.3,2.1,15.1
"20","Houston Rockets","HOU",0.671,15.5,3,6.3,0.7,1.2,2,14
"19","Indiana Pacers","IND",0.512,14.2,3.2,6.5,0.6,1,1.9,12.8
"18","LA Clippers","LAC",0.622,15.2,2.8,6.8,0.9,1.4,2,13.5
"17","Los Angeles Lakers","LAL",0.317,14.1,3,6.8,0.7,1.4,2,13.1
"16","Memphis Grizzlies","MEM",0.524,13.3,2.8,6.2,0.7,1.1,1.8,12.4
"15","Miami Heat","MIA",0.5,13.7,3,6.5,0.7,1.1,1.8,13
"14","Milwaukee Bucks","MIL",0.512,13.5,2.9,6.7,1.1,1.3,1.7,12.6
"13","Minnesota Timberwolves","MIN",0.378,12.7,3,6,0.6,1.7,1.8,12.8
"12","New Orleans Pelicans","NOP",0.415,13.7,3,6.1,0.7,1.2,1.7,13.2
"11","New York Knicks","NYK",0.378,13.8,3,7.3,0.8,1.1,1.9,13.6
"10","Oklahoma City Thunder","OKC",0.573,14.1,2.7,6.6,0.9,1,1.7,13.4
"9","Orlando Magic","ORL",0.354,12.2,2.9,6.6,0.5,0.9,1.9,10.1
"8","Philadelphia 76ers","PHI",0.341,16.2,3.3,7.1,0.8,1,2.7,13.5
"7","Phoenix Suns","PHO",0.293,14.3,2.6,6.5,0.7,1.1,1.9,12.3
"6","Portland Trail Blazers","POR",0.5,14.3,3,6.7,0.8,1.1,2.2,13.2
"5","Sacramento Kings","SAC",0.39,14.4,3.2,5.5,0.5,1.1,2,13.2
"4","San Antonio Spurs","SAS",0.744,14,3.5,6.2,0.8,1.1,2.1,14
"3","Toronto Raptors","TOR",0.622,13.7,2.5,6.9,0.9,1.3,1.7,14.2
"2","Utah Jazz","UTA",0.622,14.3,2.8,6.5,0.8,1.1,1.9,14.5
"1","Washington Wizards","WAS",0.598,12.8,3,8.1,0.5,1.3,1.9,12.4
